Date_start,Power_kW,HR,solarRad_W/m2,Weekday,Hour_sin,Hour_cos,Power_kW_lag_1h,Power_kW_lag_2h,Power_kW_lag_24h,HDH,CDH_squared,CDH_Humidity,log_temp,holiday
2017-03-23 21:00:00,109.9891855,88.95,1.484,3,-0.7071067811865477,0.7071067811865474,124.766559,156.085475,107.3872875,3.270833333333334,0.0,0.0,2.5438959482637045,False
2017-03-23 22:00:00,105.337976,82.61666666666666,1.5810000000000002,3,-0.5000000000000004,0.8660254037844384,109.9891855,124.766559,113.8531395,5.679166666666667,0.0,0.0,2.3341645061473684,False
2017-03-23 23:00:00,103.0883,63.44166666666666,0.7524166666666666,3,-0.25881904510252157,0.9659258262890681,105.337976,109.9891855,108.9041145,5.033333333333331,0.0,0.0,2.394860369103217,False
2017-03-24 00:00:00,106.8541475,64.64583333333333,1.1746666666666667,4,0.0,1.0,103.0883,105.337976,106.3607745,5.180833333333332,0.0,0.0,2.381319252584162,False
2017-03-24 01:00:00,104.869075,58.73166666666666,0.6946666666666667,4,0.25881904510252074,0.9659258262890683,106.8541475,103.0883,106.7444605,5.594166666666666,0.0,0.0,2.3423665463390533,False
2017-03-24 02:00:00,106.2347,65.995,0.8888333333333333,4,0.49999999999999994,0.8660254037844387,104.869075,106.8541475,102.4378255,6.577500000000001,0.0,0.0,2.2431004461591533,False
2017-03-24 03:00:00,107.493697,62.5025,0.9094166666666668,4,0.7071067811865476,0.7071067811865476,106.2347,104.869075,101.6503515,6.33,0.0,0.0,2.269028309465203,False
2017-03-24 04:00:00,106.0854645,64.01,1.45425,4,0.8660254037844386,0.5000000000000001,107.493697,106.2347,105.99435,6.567500000000001,0.0,0.0,2.2441611728563284,False
2017-03-24 05:00:00,104.6796355,66.49083333333333,1.288166666666667,4,0.9659258262890683,0.25881904510252074,106.0854645,107.493697,106.5124135,6.976666666666668,0.0,0.0,2.1998138149581,False
2017-03-24 06:00:00,106.423047,70.58333333333333,8.891916666666667,4,1.0,6.123233995736766e-17,104.6796355,106.0854645,115.4044895,7.1225000000000005,0.0,0.0,2.183519985835106,False
2017-03-24 07:00:00,112.9645,64.35833333333333,100.21333333333332,4,0.9659258262890683,-0.25881904510252063,106.423047,104.6796355,149.1181655,6.4016666666666655,0.0,0.0,2.261589472290526,False
2017-03-24 08:00:00,114.9019395,63.27583333333333,211.26,4,0.8660254037844387,-0.4999999999999998,112.9645,106.423047,189.110002,6.024166666666666,0.0,0.0,2.3001655014752784,False
2017-03-24 09:00:00,114.7926895,58.0625,353.43333333333334,4,0.7071067811865476,-0.7071067811865475,114.9019395,112.9645,224.77095,4.909999999999998,0.0,0.0,2.406043801362276,False
2017-03-24 10:00:00,115.305509,50.77333333333333,629.8833333333333,4,0.49999999999999994,-0.8660254037844387,114.7926895,114.9019395,266.8175605,4.289999999999999,0.0,0.0,2.460443177609626,False
2017-03-24 11:00:00,116.1910895,51.03083333333333,562.6999999999999,4,0.258819045102521,-0.9659258262890682,115.305509,114.7926895,267.1750265,4.100833333333334,0.0,0.0,2.4764683696542034,False
2017-03-24 12:00:00,119.5669145,55.01,492.7833333333333,4,1.2246467991473532e-16,-1.0,116.1910895,115.305509,263.5584145,4.214999999999998,0.0,0.0,2.4668275363880947,False
2017-03-24 13:00:00,116.4401795,58.32583333333333,462.6,4,-0.2588190451025208,-0.9659258262890683,119.5669145,116.1910895,244.6835105,4.441666666666668,0.0,0.0,2.4474066775327854,False
2017-03-24 14:00:00,114.5814,50.520833333333336,583.25,4,-0.4999999999999997,-0.8660254037844388,116.4401795,119.5669145,263.036855,3.6741666666666664,0.0,0.0,2.511697330895278,False
2017-03-24 15:00:00,117.787669,52.36166666666667,405.9916666666666,4,-0.7071067811865471,-0.7071067811865479,114.5814,116.4401795,257.1891395,3.6866666666666674,0.0,0.0,2.5106826861029843,False
2017-03-24 16:00:00,113.0519,58.10416666666666,189.575,4,-0.8660254037844385,-0.5000000000000004,117.787669,114.5814,252.60785,4.3316666666666634,0.0,0.0,2.4568786197610515,False
2017-03-24 17:00:00,115.7650145,60.01666666666667,94.17333333333332,4,-0.9659258262890683,-0.25881904510252063,113.0519,117.787669,231.175622,4.463333333333331,0.0,0.0,2.4455303689791434,False
2017-03-24 18:00:00,118.179658,58.81,22.29525,4,-1.0,-1.8369701987210297e-16,115.7650145,113.0519,182.90635,4.604166666666666,0.0,0.0,2.4332477915140904,False
2017-03-24 19:00:00,119.14805,60.02583333333333,0.6001666666666666,4,-0.9659258262890684,0.2588190451025203,118.179658,115.7650145,156.085475,4.8825,0.0,0.0,2.4085204434027143,False
2017-03-24 20:00:00,117.0248855,64.9475,1.0524166666666666,4,-0.8660254037844386,0.5000000000000001,119.14805,118.179658,124.766559,5.013333333333334,0.0,0.0,2.396682416373161,False
