Date,Power_kW,HR,solarRad_W/m2,Weekday,Hour_sin,Hour_cos,Power_kW_lag_1h,Power_kW_lag_2h,Power_kW_lag_24h,HDH,CDH_squared,CDH_Humidity,log_temp,holiday
2019-03-03 06:00:00,101.288,81.025,4.83375,6,1.0,6.123233995736766e-17,103.251,103.287,104.282,5.7875,0.0,0.0,2.3236124601861214,False
2019-03-03 07:00:00,103.784,83.83333333,27.27675,6,0.9659258262890683,-0.25881904510252063,101.288,103.251,99.245,5.8149999999999995,0.0,0.0,2.320916049678769,False
2019-03-03 08:00:00,101.48,86.25833333,127.895,6,0.8660254037844387,-0.4999999999999998,103.784,101.288,99.042,5.775,0.0,0.0,2.3248357019288655,False
2019-03-03 09:00:00,101.292,85.975,265.45,6,0.7071067811865476,-0.7071067811865475,101.48,103.784,104.052,5.52916667,0.0,0.0,2.3485936138832564,False
2019-03-03 10:00:00,105.245,77.0575,513.9333333,6,0.49999999999999994,-0.8660254037844387,101.292,101.48,99.97,3.567500000000001,0.0,0.0,2.5203140116067564,False
2019-03-03 11:00:00,103.65,62.60416667,553.4,6,0.258819045102521,-0.9659258262890682,105.245,101.292,101.802,1.3666666700000007,0.0,0.0,2.6833020311852254,False
2019-03-03 12:00:00,104.037,56.815,711.075,6,1.2246467991473532e-16,-1.0,103.65,105.245,100.042,0.0933333300000001,0.0,0.0,2.7667383087711612,False
2019-03-03 13:00:00,105.448,64.88333333,601.0,6,-0.2588190451025208,-0.9659258262890683,104.037,103.65,100.575,1.1816666700000003,0.0,0.0,2.695865152680046,False
2019-03-03 14:00:00,105.935,71.32583333,525.3333333,6,-0.4999999999999997,-0.8660254037844388,105.448,104.037,107.675,1.8408333300000006,0.0,0.0,2.6503622355450855,False
2019-03-03 15:00:00,108.223,67.43833333,474.35,6,-0.7071067811865471,-0.7071067811865479,105.935,105.448,102.822,1.3100000000000005,0.0,0.0,2.6871669901857858,False
2019-03-03 16:00:00,106.602,65.69916667,355.95,6,-0.8660254037844385,-0.5000000000000004,108.223,105.935,106.735,1.1225000000000005,0.0,0.0,2.69985000453687,False
2019-03-03 17:00:00,106.776,72.6375,128.3183333,6,-0.9659258262890683,-0.25881904510252063,106.602,108.223,108.135,2.0691666699999995,0.0,0.0,2.6341046086872617,False
2019-03-03 18:00:00,105.677,80.2,11.92491667,6,-1.0,-1.8369701987210297e-16,106.776,106.602,109.242,2.59333333,0.0,0.0,2.595752095925029,False
2019-03-03 19:00:00,103.296,82.775,5.456166667,6,-0.9659258262890684,0.2588190451025203,105.677,106.776,117.649,2.5950000000000006,0.0,0.0,2.5956277716879224,False
2019-03-03 20:00:00,104.834,82.84166667,4.402583333,6,-0.8660254037844386,0.5000000000000001,103.296,105.677,108.077,2.4216666700000005,0.0,0.0,2.6084753848490063,False
2019-03-03 21:00:00,101.227,83.475,4.1925,6,-0.7071067811865477,0.7071067811865474,104.834,103.296,110.231,2.2841666699999994,0.0,0.0,2.618550883024948,False
2019-03-03 22:00:00,100.187,84.75,4.866333333,6,-0.5000000000000004,0.8660254037844384,101.227,104.834,107.253,2.2566666699999995,0.0,0.0,2.620553857808157,False
2019-03-03 23:00:00,105.129,85.39166667,2.877083333,6,-0.25881904510252157,0.9659258262890681,100.187,101.227,106.919,2.2691666700000006,0.0,0.0,2.619643912038577,False
2019-03-04 00:00:00,111.934,85.41666667,5.689333333,0,0.0,1.0,105.129,100.187,103.601,2.2025000000000006,0.0,0.0,2.6244874163315193,True
2019-03-04 01:00:00,108.623,86.55833333,3.809583333,0,0.25881904510252074,0.9659258262890683,111.934,105.129,101.676,2.3691666700000003,0.0,0.0,2.6123343832378905,True
2019-03-04 02:00:00,108.495,88.525,2.120416667,0,0.49999999999999994,0.8660254037844387,108.623,111.934,101.229,2.5749999999999993,0.0,0.0,2.5971186403949282,True
2019-03-04 03:00:00,111.138,88.76666667,1.276166667,0,0.7071067811865476,0.7071067811865476,108.495,108.623,102.534,3.0124999999999993,0.0,0.0,2.5639873564253457,True
2019-03-04 04:00:00,107.235,86.18333333,1.24375,0,0.8660254037844386,0.5000000000000001,111.138,108.495,103.287,3.580833330000001,0.0,0.0,2.519240978441103,True
2019-03-04 05:00:00,110.174,81.49166667,1.562666667,0,0.9659258262890683,0.25881904510252074,107.235,111.138,103.251,3.696666670000001,0.0,0.0,2.509870228102868,True
2019-03-04 06:00:00,118.148,80.275,2.448833333,0,1.0,6.123233995736766e-17,110.174,107.235,101.288,3.7325,0.0,0.0,2.5069534889819214,True
2019-03-04 07:00:00,155.733,81.78333333,28.23008333,0,0.9659258262890683,-0.25881904510252063,118.148,110.174,103.784,3.772500000000001,0.0,0.0,2.503687513431375,True
2019-03-04 08:00:00,209.912,77.68333333,219.3916667,0,0.8660254037844387,-0.4999999999999998,155.733,118.148,101.48,2.9216666700000005,0.0,0.0,2.5709569166564523,True
2019-03-04 09:00:00,250.16,67.57916667,433.25,0,0.7071067811865476,-0.7071067811865475,209.912,155.733,101.292,2.0474999999999994,0.0,0.0,2.6356587036804515,True
2019-03-04 10:00:00,384.954,56.52583333,431.225,0,0.49999999999999994,-0.8660254037844387,250.16,209.912,105.245,0.875,0.0,0.0,2.716349003916905,True
2019-03-04 11:00:00,337.775,58.10666667,378.475,0,0.258819045102521,-0.9659258262890682,384.954,250.16,103.65,1.1008333300000004,0.0,0.0,2.7013052831994546,True
2019-03-04 12:00:00,335.344,59.62416667,550.35,0,1.2246467991473532e-16,-1.0,337.775,384.954,104.037,0.9533333299999995,0.0,0.0,2.711156482942813,True
2019-03-04 13:00:00,335.003,51.90333333,291.6166667,0,-0.2588190451025208,-0.9659258262890683,335.344,337.775,105.448,0.5116666700000003,0.0,0.0,2.7400870521259773,True
2019-03-04 14:00:00,336.304,52.02333333,445.8583333,0,-0.4999999999999997,-0.8660254037844388,335.003,335.344,105.935,0.10833333000000067,0.0,0.0,2.7657948630281264,True
