Date_start,Power_kW,Year,Month,Day,Hour,temp_C,HR,solarRad_W/m2,Weekday,Is_Weekend,Hour_sin,Hour_cos,Power_kW_lag_1h,Power_kW_lag_2h,Power_kW_lag_24h,HDH,CDH,HDH_squared,CDH_squared,CDH_Humidity,log_temp,temp_squared,holiday
2017-12-26 01:00:00,88.6928645,2017,12,26,1,8.941666666666666,87.43333333333334,2.8135,1,0,0.25881904510252074,0.9659258262890683,90.7249145,89.5559395,85.9214105,7.058333333333334,0.0,49.82006944444445,0.0,0.0,2.1907219998486522,8.941666666666666,True
2017-12-26 02:00:00,89.051423,2017,12,26,2,8.44,89.39999999999999,2.592583333333333,1,0,0.49999999999999994,0.8660254037844387,88.6928645,90.7249145,92.8260105,7.5600000000000005,0.0,57.153600000000004,0.0,0.0,2.1329823086078656,8.44,True
2017-12-26 03:00:00,89.51508,2017,12,26,3,8.209999999999999,90.00833333333333,3.851083333333333,1,0,0.7071067811865476,0.7071067811865476,89.051423,88.6928645,89.2500395,7.790000000000001,0.0,60.684100000000015,0.0,0.0,2.105352923464337,8.209999999999999,True
2017-12-26 04:00:00,89.985292,2017,12,26,4,8.205,89.94166666666666,3.7600833333333337,1,0,0.8660254037844386,0.5000000000000001,89.51508,89.051423,87.9569565,7.795,0.0,60.762025,0.0,0.0,2.1047437245420544,8.205,True
2017-12-26 05:00:00,89.7088895,2017,12,26,5,7.953333333333333,90.25833333333333,2.756333333333333,1,0,0.9659258262890683,0.25881904510252074,89.985292,89.51508,88.4088145,8.046666666666667,0.0,64.74884444444444,0.0,0.0,2.0735911280016603,7.953333333333333,True
2017-12-26 06:00:00,96.0235395,2017,12,26,6,7.683333333333334,91.075,2.7055,1,0,1.0,6.123233995736766e-17,89.7088895,89.985292,92.7351145,8.316666666666666,0.0,69.16694444444444,0.0,0.0,2.0390534807745477,7.683333333333334,True
2017-12-26 07:00:00,126.3876105,2017,12,26,7,7.6275,91.50833333333333,2.7425833333333336,1,0,0.9659258262890683,-0.25881904510252063,96.0235395,89.7088895,98.182975,8.372499999999999,0.0,70.09875624999998,0.0,0.0,2.031760137608688,7.6275,True
2017-12-26 08:00:00,145.6920855,2017,12,26,8,7.468333333333334,91.425,25.635666666666665,1,0,0.8660254037844387,-0.4999999999999998,126.3876105,96.0235395,102.80425,8.531666666666666,0.0,72.7893361111111,0.0,0.0,2.010671859569997,7.468333333333334,True
2017-12-26 09:00:00,146.8357145,2017,12,26,9,7.645833333333333,91.9,79.21083333333333,1,0,0.7071067811865476,-0.7071067811865475,145.6920855,126.3876105,105.86325,8.354166666666668,0.0,69.79210069444447,0.0,0.0,2.0341608371466795,7.645833333333333,True
2017-12-26 10:00:00,152.7024395,2017,12,26,10,8.409166666666666,90.15833333333336,150.83333333333334,1,0,0.49999999999999994,-0.8660254037844387,146.8357145,145.6920855,110.9689395,7.590833333333334,0.0,57.62075069444446,0.0,0.0,2.129322380688437,8.409166666666666,True
