Date_start,Power_kW,temp_C,HR,solarRad_W/m2
2018-11-11 10:00:00,105.9298925,16.209999999999997,58.240833333333335,474.2416666666666
2018-11-11 11:00:00,106.8318605,18.059166666666663,53.84166666666667,553.4666666666667
2018-11-11 12:00:00,101.8911385,17.849166666666665,54.410833333333336,568.5749999999999
2018-11-11 13:00:00,99.8315575,18.923333333333336,49.45166666666666,525.2583333333333
2018-11-11 14:00:00,98.5725605,19.29583333333333,46.16333333333333,432.0083333333334
2018-11-11 15:00:00,97.1169135,19.151666666666667,47.40166666666667,295.18333333333334
2018-11-11 16:00:00,102.8870615,17.968333333333334,53.145833333333336,131.56833333333333
2018-11-11 17:00:00,99.7699405,15.893333333333333,61.365,12.615166666666669
2018-11-11 18:00:00,103.7400855,14.198333333333332,64.94500000000001,2.801083333333333
2018-11-11 19:00:00,96.334902,13.4525,64.615,2.7735
2018-11-11 20:00:00,95.1630865,13.116666666666667,63.71083333333333,2.7576666666666667
2018-11-11 21:00:00,99.4867645,13.1775,61.306666666666665,2.7303333333333337
2018-11-11 22:00:00,98.156755,13.045833333333334,59.45,2.7557500000000004
2018-11-11 23:00:00,99.276349,12.770833333333334,62.40166666666667,2.838833333333333
2018-11-12 00:00:00,95.387923,12.556666666666668,64.86916666666667,2.7396666666666665
2018-11-12 01:00:00,99.219539,12.513333333333334,66.38000000000001,2.758
2018-11-12 02:00:00,95.75544,12.101666666666668,72.25583333333333,2.4419166666666667
2018-11-12 03:00:00,96.713781,12.246666666666668,72.8,2.582666666666667
2018-11-12 04:00:00,96.3508525,12.270833333333334,72.63333333333334,2.5018333333333334
2018-11-12 05:00:00,94.1243375,12.152500000000002,76.44166666666666,2.4856666666666665
2018-11-12 06:00:00,106.860484,12.173333333333332,76.97500000000001,2.425666666666667
2018-11-12 07:00:00,143.5708875,12.398333333333332,74.89166666666667,31.953166666666664
2018-11-12 08:00:00,242.5059395,13.133333333333333,71.38083333333334,177.775
2018-11-12 09:00:00,305.5357605,14.17,65.9025,339.28333333333336
2018-11-12 10:00:00,278.4395755,14.3925,64.55083333333333,467.95
2018-11-12 11:00:00,304.687325,15.346666666666666,60.83916666666666,546.6999999999999
2018-11-12 12:00:00,324.78714,15.761818181818182,58.66636363636364,569.3181818181819
2018-11-12 13:00:00,319.2252225,16.609166666666667,54.92916666666667,530.6916666666667
